Code,Name,U_Status,U_Address,U_ComCode,U_ComName,WarehouseHO,RegionCode,RegionName,AreaCode,AreaName,Provinces,Xvalue,Yvalue,ShopType
30824,HCM 186 Võ Văn Ngân - Thủ Đức,A,"186A-186B Võ Văn Ngân, P.Bình Thọ, Q.Thủ Đức, TP HCM",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00158,Hồ Chí Minh-KV4,Hồ Chí Minh,10.850756,106.763073,B
30853,HCM 311 Lê Văn Sỹ,A,"311 Lê Văn Sỹ, Phường 13, Quận 3, TP Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00269,Hồ Chí Minh-KV7,Hồ Chí Minh,10.787591,106.678224,A
30866,HCM 137 Tô Ngọc Vân,A,"Số 137 Tô Ngọc Vân, khu phố 4, Phường Linh Tây, Quận Thủ Đức, Thành Phố Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00043,Hồ Chí Minh-KV1,Hồ Chí Minh,10.853295,106.751431,A
30934,CTO 314 Quốc Lộ 91,A,"314 Quốc Lộ 91, P. Thốt Nốt, Q. Thốt Nốt, TP. Cần Thơ, Việt Nam",090910,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI CẦN THƠ,11000,00204,Miền Tây Nam Bộ,00257,Miền Tây NB 5,Cần Thơ,10.267087,105.537602,D
30312,QNH 539 Lê Thánh Tông,A,"539 Lê Thánh Tông, Phường Bạch Đằng, Thành phố Hạ Long, Tỉnh Quảng Ninh",090307,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI QUẢNG NINH,11001,00002,Miền Bắc 1,00169,Miền Bắc 1-KV2,Quảng Ninh,20.951798,107.085558,A
30851,HCM 1 Hậu Giang,A,"Số 1 Hậu Giang, Phường 2, Quận 6, TP Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00178,Hồ Chí Minh-KV5,Hồ Chí Minh,10.749756,106.649369,B
30311,HPG 238 Đông Thái - Vĩnh Bảo,A,"Số 238 - 240 Phố Đông Thái, Thị trấn Vĩnh Bảo, Huyện Vĩnh Bảo, TP Hải Phòng, Việt Nam",090306,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HẢI PHÒNG,11001,00003,Miền Bắc 2,00403,Miền Bắc 2-KV8,Hải Phòng,20.686520,106.480331,B
30229,HNI 495 Trương Định,A,"Số 495A đường Trương Định, tổ 6, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",090201,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,11001,00006,Hà Nội,00515,Hà Nội-KV7,Hà Nội,20.984010,105.846282,A
30413,HTH Khu Châu Phố,A,"Km 564 + 900 Quốc lộ 1A Khu Châu Phố - Thị Trấn Kỳ Anh, Huyện Kỳ Anh, Tỉnh Hà Tĩnh",090460,CHI NHÁNH HÀ TĨNH - CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11001,00003,Miền Bắc 2,00172,Miền Bắc 2-KV1,Hà Tĩnh,18.078416,106.288598,C
30854,HCM 4/18 Ấp Nam Thới,A,"Số 4/18 Ấp Nam Thới, Xã Thới Tam Thôn, Huyện Hóc Môn, TP Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00072,Hồ Chí Minh-KV3,Hồ Chí Minh,10.888043,106.600164,B
30920,LAN 21 Nguyễn Hữu Thọ,A,"Nhà số 21 Đường Nguyễn Hữu Thọ, Thị trấn Bến Lức, Huyện Bến Lức, Tỉnh Long An, Việt Nam",090953,CHI NHÁNH LONG AN - CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11000,00204,Miền Tây Nam Bộ,00414,Miền Tây NB 8,Long An,10.636365,106.489261,B
